Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,123,ChatGPT,11.381,0.0397,0.0952,0.3,0.0,0.25,0.7529
Politika,123,Gemini,23.9,0.0265,0.0,0.2143,0.0,0.2143,0.7101
Politika,123,Claude,21.7273,0.0132,0.0,0.2581,0.0,0.1935,0.7188
Politika,124,Ekstraktivna,4.8983,0.115,0.5085,0.1013,0.026,0.1013,0.6643
Politika,124,Apstraktivna,19.2667,0.0619,0.4,1.0,1.0,1.0,1.0
Politika,124,ChatGPT,18.0625,0.0265,0.25,0.2941,0.0625,0.2353,0.7608
Politika,124,Gemini,22.2308,0.0088,0.1538,0.1875,0.0,0.125,0.7102
Politika,124,Claude,28.9,0.0177,0.0,0.2143,0.0,0.1429,0.7058
Politika,125,Ekstraktivna,4.7632,0.1778,0.4211,0.127,0.0328,0.0635,0.6632
Politika,125,Apstraktivna,12.9286,0.0333,0.0,1.0,1.0,1.0,1.0
Politika,125,ChatGPT,12.0667,0.0222,0.1333,0.1667,0.0,0.1111,0.8064
Politika,125,Gemini,20.1111,0.0333,0.2222,0.2857,0.0,0.1429,0.7324
Politika,125,Claude,25.8571,0.0222,0.0,0.0,0.0,0.0,0.685
Politika,126,Ekstraktivna,5.2982,0.0862,0.4912,0.3226,0.1538,0.2151,0.7246
Politika,126,Apstraktivna,10.7857,0.0431,0.4286,1.0,1.0,1.0,1.0
Politika,126,ChatGPT,18.875,0.0,0.25,0.5217,0.2273,0.4783,0.7777
Politika,126,Gemini,25.1667,0.0086,0.6667,0.3721,0.1463,0.3256,0.7129
Politika,126,Claude,25.1667,0.0086,0.0,0.1364,0.0,0.1364,0.7098
Politika,127,Ekstraktivna,5.1667,0.1967,0.2857,0.0845,0.029,0.0845,0.6418
Politika,127,Apstraktivna,11.4211,0.041,0.0,1.0,1.0,1.0,1.0
Politika,127,ChatGPT,19.7273,0.0164,0.0,0.0571,0.0,0.0571,0.6534
Politika,127,Gemini,21.7,0.0164,0.0,0.2857,0.0606,0.2857,0.7271
Politika,127,Claude,24.1111,0.0164,0.0,0.1875,0.0667,0.1875,0.6884
Politika,128,Ekstraktivna,10.3421,0.0427,0.2632,0.1875,0.0645,0.1875,0.6866
Politika,128,Apstraktivna,19.65,0.0142,0.1,1.0,1.0,1.0,1.0
Politika,128,ChatGPT,35.7273,0.0284,0.5455,0.2703,0.0571,0.1622,0.7048
Politika,128,Gemini,49.125,0.019,0.0,0.0625,0.0,0.0625,0.6581
Politika,128,Claude,56.1429,0.0047,0.0,0.0645,0.0,0.0645,0.6404
Politika,129,Ekstraktivna,21.2083,0.0351,0.2083,0.125,0.0,0.1,0.6499
Politika,129,Apstraktivna,42.4167,0.0074,0.0,1.0,1.0,1.0,1.0
Politika,129,ChatGPT,92.5455,0.0055,0.0,0.1429,0.05,0.1429,0.685
Politika,129,Gemini,101.8,0.0037,0.2,0.1538,0.0,0.1538,0.6962
Politika,129,Claude,92.5455,0.0,0.0,0.1,0.0,0.1,0.6821
